1;2;3
Przetłumacz zdania opisujące wygląd;Traduisez les phrases sur l'apparence;Apparence
Ma długie warkocze.;Elle a de longues nattes.;...de longues...
Nosi dwa kucyki.;Elle porte des couettes.;porter
Zawsze wiąże włosy w kucyk.;Elle attache toujours ses cheveux en queue de cheval.;attacher
Na wesele zrobiła sobie kok.;Pour le mariage, elle s'est fait un chignon.;le mariage
Moja siostra ma proste włosy.;Ma sœur a les cheveux lisses.;ma sœur
On ma kręcone włosy od dziecka.;Il a les cheveux bouclés depuis l'enfance.;depuis l'enfance
Jej włosy są lekko pofalowane.;Ses cheveux sont légèrement ondulés.;légèrement
Ma piękne włosy afro.;Elle a de beaux cheveux crépus.;...de beaux...
Po deszczu moje włosy się kręcą.;Après la pluie, mes cheveux sont frisés.;après la pluie
(On) Ma bliznę na policzku.;Il a une cicatrice sur la joue.;la joue
(Ona) Na nosie ma pieprzyk.;Elle a un grain de beauté sur le nez.;le nez
Mój brat ma odstające uszy.;Mon frère a les oreilles décollées.;mon frère
Moja babcia ma zmarszczki wokół oczu.;Ma grand-mère a des rides autour des yeux.;la grand-mère – autour
Nastolatka ma pryszcze na czole.;L'adolescente a des boutons sur le front.;le front
Ma cienie pod oczami, bo nie spał.;Il a des cernes car il n'a pas dormi.;dormir (dormi)
Myślę, że ona jest brzydka.;Je pense qu'elle est laide.;penser
Ta dziewczyna jest paskudna.;Cette fille est vilaine.;cette fille
Ona jest bardzo atrakcyjna! (wystrzałowa);Elle est canon !;très attrayante
Ten chłopak jest brzydki jak noc.;Ce garçon est moche comme un pou.;ce garçon
